# USDA Bureau of Agricultural Economics, Farm Production Practices, Costs, and Returns, Statistical Bulletin 83 (1949), table 14, printed page 45
# https://downloads.usda.library.cornell.edu/usda-esmis/files/7m01bk68h/d217qs47w/4f16c641b/frmprodcostreturn_Farm_Production_Practices_Costs_and_Returns__1910-48.pdf
# Transcribed by eye from the page image at 260 dpi on 2026-09-23 and checked twice. Thousands, on farms, January 1. 1948 and 1949 are marked preliminary.
year,horses_and_mules_thousands,tractors_thousands
1910,24211,1
1911,24847,4
1912,25277,8
1913,25691,14
1914,26178,17
1915,26493,25
1916,26534,37
1917,26659,51
1918,26723,85
1919,26490,158
1920,25742,246
1921,25137,343
1922,24588,372
1923,24018,428
1924,23285,496
1925,22569,549
1926,21986,621
1927,21192,693
1928,20448,782
1929,19744,827
1930,19124,920
1931,18468,997
1932,17812,1022
1933,17337,1019
1934,16997,1016
1935,16683,1048
1936,16226,1125
1937,15802,1230
1938,15245,1370
1939,14792,1445
1940,14478,1545
1941,14104,1675
1942,13655,1885
1943,13231,2100
1944,12613,2215
1945,11950,2422
1946,11063,2585
1947,10021,2800
1948,9130,3150
1949,8274,3500
